TRAJ,C1-C2,C2-C3,C3-C4,C4-C5,C5-C6,C6-C1,C6-C1-C2,C1-C2-C3,C2-C3-C4,C3-C4-C5,C4-C5-C6,C5-C6-C1,dih H7-C1-C2-H8,dih H9-C3-C4-H10,dih C4-C5-C6-C1
1,1.3895645856850072,1.4639649617027697,1.480947072573991,1.4687025871454116,2.183256797025022,1.45044104293783,122.08280167725968,103.81094081632315,134.55452367058444,115.67826004151864,103.89057790692728,90.56566241996616,19.234156113138447,56.44296628828942,55.3526683769942
2,1.372293044896397,1.4130774579954313,1.3270322955368763,1.3646428930973642,2.0225237589361296,1.4476761290462477,116.07289412977967,129.4887821735667,110.39193865370699,119.82267983949637,101.83566113094281,101.87310948892718,47.723117413220486,22.637464436262093,50.448892025147536
3,1.410694937606739,1.3837667373716873,1.3909455708417988,1.4839288181042927,2.2739926448137155,1.3522916209634435,120.12124739041734,128.11985669764837,120.54989355904665,128.9719664472833,96.0628573570852,102.89743176429411,30.906533361279557,2.221152202892213,48.02544701109429
4,1.516422528749473,1.3667375650988798,1.4354584031599242,1.3505489389926801,1.943681633660052,1.3902371600270793,116.82778705899908,122.76421673800988,117.47972388871284,127.88178536548018,96.9669244059008,108.71565832786266,61.454495768558324,14.362941973268569,56.93377259045948
5,1.3905198786669752,1.4273443218708692,1.3568605160349205,1.4805721605783109,1.8622862756189922,1.453418677118389,114.80039542902882,129.15053291484216,113.6763401370574,122.96225141240716,99.15063945244766,110.57500223462377,84.2103143772096,33.74282838270278,50.98377330435487
6,1.4030762555361918,1.3869383932413257,1.472744271843315,1.4033023840092713,1.8755741921224751,1.3929819717167682,131.6477965183621,109.83842339971855,133.10047703245758,107.76826667483799,115.25329295799587,95.09974284136742,37.20463148315373,92.41098771380368,55.61330162632138
7,1.4389320748851127,1.4215012562203106,1.4071831632178773,1.401300586400881,2.4618493139981057,1.3682269254563522,123.88853263290555,117.31292963393388,116.59312168062941,110.65111958176462,101.27138601635858,81.78389667810987,16.87198306477631,5.627383892247653,77.01910338949922
9,1.3914211307541644,1.474602185041217,1.4490183982061091,1.356295973889923,2.249692779173516,1.368610591834804,122.53738603529634,111.15862456249612,126.28934107747159,123.17483320046769,102.37867183767912,95.43304186785674,20.208607579094803,28.599238000321296,49.22388638060233
10,1.4540542277617965,1.3712357101145005,1.4486551406467083,1.3577902665408716,2.133951907067034,1.434276397071649,123.53079436037348,113.27927981443786,126.33438865147299,122.15727158725674,100.17866582415992,99.34964807911348,28.878560135939168,26.75673969884426,51.48279098423195
11,1.33763040049291,1.364303486035058,1.449813633307046,1.4811391663796927,2.349791387917217,1.4840691279555482,117.63558034211465,124.89433572497771,112.97972647033525,129.56800483856566,93.80924879268008,85.06761132306241,40.461185238826154,16.313025603988496,61.98376362693695
12,1.4925332694498665,1.4246621307358243,1.5085689996126672,1.4975538105003696,1.5260986745492031,1.6350794473777701,129.50961700972516,111.02580669302665,89.26043528192194,119.17938868842779,105.49586502420186,104.71790708024149,22.141864528161527,10.562444736398803,9.389100464570225
13,1.3931724582631628,1.3917854091098956,1.4709130408510525,1.566993587690765,1.5372018807034429,1.5023659795174922,125.22336660410444,113.4191162477639,131.85760477137464,95.0350566873941,121.26702182224712,107.32764422695948,3.9803246577788793,129.64472887526162,43.95488222980918
14,1.3500517163723287,1.4226587303300824,1.417050886966829,1.6109709820589702,1.6982658363034184,1.5461756961166622,120.20995306873252,120.06844394842551,120.03195010798754,109.98453691048492,109.69044901213896,99.60517479087028,0.8797735901270566,100.54469908430919,57.262031999413836
15,1.3649285253709698,1.4806758617442384,1.385370725717604,1.4566305653339835,2.1091766682321103,1.3983188768970218,122.18635434000569,120.02039778707815,119.38514661049388,126.5530469550676,95.56182943856707,98.38919120949328,36.86628753962477,34.706435864478095,60.85491244377365
16,1.370586251462599,1.4799174037718226,1.3899604465832862,1.3983778004102008,2.04937874368797,1.4808295953188013,117.97410120746855,129.8981689960803,111.34884630093923,128.24810927861154,98.90541322877722,106.1628423015868,63.18499609001641,15.853359623231738,46.79412641598564
