TRAJ,C1-C2,C2-C3,C3-C4,C4-C5,C5-C6,C6-C7,C7-C8,C8-C1,C6-H9,C7-H10,C8-H11,C1-H12,C5-H13,C5-H14,C4-H15,C4-H16,C3-H17,C3-H20,C2-H18,C2-H19
1,1.551257565043609,1.5439106806705696,1.5316262831538348,1.5271161103512965,1.552445787276702,1.3094876970009863,1.5603608482565285,1.3778988643041585,1.1550431564565902,0.8333670617583832,0.9124706081809371,1.2562005475779559,0.9617753207141418,1.1114883138347256,1.0117379501453683,0.8676528569741443,0.9072949275554875,1.0586509557309949,1.0566320749232283,1.0791392086998197
2,1.6246944544366728,1.4237301573120318,1.5916057142321576,1.4150980460422684,1.4924921880292725,1.354035619947069,1.5415074577051262,1.390989378823709,1.3402616326936676,1.1162665546643322,1.3352070853764244,1.2329668909763547,1.0763864819158606,1.4002964908441158,0.9434356557405548,0.9592425400106114,1.3292554701438168,0.850514526558181,1.1920926820587363,1.26866478012355
3,1.375905966947454,1.6693114916716147,1.4300113002251011,1.7048970494019915,1.4899605802222338,1.1607052258300634,1.3658533991314457,1.2997530325213529,1.015286325458683,0.9596021022490586,1.0131808573416012,1.1526934227346508,1.3116329591377032,1.1257124455853598,1.29037837784938,1.3222265811646998,1.3525616593215946,1.1891001423226437,1.1444237026470019,1.42167396983884
4,1.5397653077307982,1.5668355598470192,1.5998013099241166,1.498411251852427,1.459443339466976,1.4976978178203009,1.512973632876538,1.4026584439510283,1.0704880988824386,1.1780827903646842,1.2508365111896163,0.9812437835474427,1.0239675359661042,1.1293309592087668,1.1154311779362476,1.3334466197762873,0.7310461261114847,0.9395984754571125,0.9836975217927817,1.0815994244652352
5,1.4869533274999622,1.496991302622886,1.5318318791243557,1.6399401245299796,1.4326844691059664,1.3806588223364065,1.3950323120507553,1.2689932055229471,1.0152437023972773,1.3300114503973448,0.9311575765917897,0.9520188463201283,1.0044370179094582,0.9911084742769122,1.3511587743642206,1.3760740517539902,0.750196477686401,1.4221615619634966,1.0989174732913456,1.2060573315890994
6,1.4695163361369878,1.5052468398582641,1.6104596874768182,1.5306442154290711,1.6260666273359918,1.2314160926642104,1.318607480017414,1.3389347644854817,1.237416316275744,1.1899401448783584,1.0767692912500977,1.0182028035594617,1.0059042318748779,1.082934835222515,1.1970506657538849,1.1122482672637255,1.1106904879029524,0.9500535892343345,1.084209002827825,0.8982305577592199
7,1.5948365315763424,1.6404861527026144,1.5157659018342207,1.5430363897987296,1.4875515803541177,1.2280545384209245,1.4482059095798874,1.3839077465376144,0.9758171376468893,1.1774962877712807,1.2861761602941149,1.2996030927941076,1.1021031462942212,1.0755566995388268,0.9201907750090946,0.892558646644824,1.226959837491382,1.2963910429775218,1.1326235597361078,1.333974851563045
8,1.5068516853797798,1.5171457028955746,1.524982366721036,1.462863653559231,1.5296432459233262,1.3968650236852633,1.6653172268085923,1.3924703434312011,1.152370481566766,1.0701180533687598,1.1936197765067595,1.1095890622153748,0.9446579772378235,1.3573731437316383,1.129991006256071,1.082269388937132,1.210750161248277,0.9859295975600308,1.204701135918598,1.2368067083046443
9,1.4977327268542726,1.6122186099359324,1.545595900377065,1.6805128550935113,1.3053810883947616,1.5331686761075647,1.5186097448734812,1.3633715750399233,1.0024956282207567,1.0628001380930188,0.9881752800801473,1.0638654645493657,1.124318194353715,0.8829379543284416,1.1466589559131226,1.2539225289157103,0.930204777054531,1.017494996399247,1.1111102115627982,1.0264604218404394
10,1.4670004811437025,1.5995781092744261,1.4568191946122737,1.584303911141105,1.5046406621288726,1.2950106338301457,1.4492045872307706,1.4445728334079584,1.0152335458942041,1.1705143459627823,1.2570557044998314,1.0737750680445226,1.1491943745403876,0.8752452620574424,1.1583371320774005,1.0351952424207234,0.829712385961206,0.9921805479642697,1.1903660081383318,1.049394213721252
11,1.4281984706961206,1.6734962585152933,1.5600260444379261,1.6385096249623763,1.532559141931677,1.2992462235814448,1.3985862300655674,1.2306390300949368,1.2354338828741287,0.955461623350569,1.1956510922954307,1.0756316656323197,1.1800837723808628,0.9311931805216693,1.2509481061846561,1.178814699149529,1.264746815300109,1.0775611650834713,0.8943501903137459,1.2374219237634363
12,1.6585925300467392,1.561773100095876,1.617430902217224,1.4785971849334032,1.5062381887385599,1.3019029062934406,1.4541770660374354,1.3266355028484034,0.8862225343358969,1.1010963283747837,0.8823108539088703,0.904024803425922,0.8885105091810396,1.1635652704834483,0.8255292783819718,0.9651169966322832,1.077965078226937,1.2908315459584034,1.1804033668683762,1.0637072689210438
13,1.4070506671756873,1.462514158580859,1.5665705049192786,1.3765492730721072,1.584553432878915,1.5949232553649393,1.402062323745165,1.4063714161875651,1.1775238058374864,1.1911435426646113,1.183075515479549,0.9759944457186717,1.0727631183816722,1.1014429815728166,1.0065385960701456,1.186899252173196,1.247936708381642,1.2410980851273172,1.293257884665884,0.9114766048805065
14,1.617684485415633,1.6757303581692637,1.5023604326108764,1.5074730128334555,1.5521950186504256,1.4577359538384884,1.4837384735288326,1.4482435194547498,1.1081697625381077,1.1537412092114065,1.0375043366853143,1.205408117996872,0.93847063393868,1.0798811344316546,0.913779756702,0.930239765024043,1.0740293679944832,1.112823786317464,1.2135297512813936,0.6868898813590715
15,1.569472014803077,1.5749186750205781,1.5148403437580025,1.524237847132918,1.4904754868871433,1.3076607942625416,1.4913908740321657,1.4278438280822487,1.1479405336373818,0.9772594988620921,1.4095475781809197,1.123692228484683,1.2380348317999477,1.0742230933599115,1.0794546505786466,0.8447736172276891,1.1960842490582468,1.3291421766026856,1.032860386920436,1.0579824144080854
16,1.4394273145622083,1.4731578864935264,1.5009239384689264,1.617638797153534,1.5967921417336093,1.2978767129542002,1.4552249691065091,1.324352194899711,1.0656192843801187,0.9805530985771593,0.7739655258805508,0.874073167385035,1.0443511343461573,1.098031988156355,1.4861695799606176,1.4836239830961309,1.2332705479097477,1.161011795466544,1.023288795176291,1.1177765367370895
17,1.4613136360969088,1.4783438271004534,1.6235299793457463,1.504971577347227,1.5016808559275232,1.4352068584866047,1.4610444803573752,1.3836892613211251,1.2391064472015023,1.0646724794760885,1.1379621705449663,0.9647940386729866,1.1027170262987094,1.323145918992605,1.0412178263112084,1.2179138646814587,0.9416669804528325,1.2186623295858972,1.0320964077415509,1.0722631900464277
18,1.603932085782881,1.6504062642571546,1.4566092913068913,1.629084155551368,1.4488668318354272,1.2573307529814193,1.6350302114605308,1.2831854566183134,1.1001568178456147,0.9621807948983802,1.0002527872315439,1.1504195721115666,1.1275413429477332,0.7812071934043904,0.6619882545731005,0.9633890945706812,1.2400092772805729,1.0964315640583007,1.1887785678978577,1.0099689417935875
19,1.4022277710306994,1.5158327555896658,1.4753647337760707,1.6845183101272019,1.4672024373254482,1.4029060701659064,1.379102214128805,1.348090552627272,1.0819898825170684,1.2485331119534215,1.0500981297451084,0.9581690405020525,1.2714115464809845,1.0301433810066156,1.3227918306248185,1.2718428894324163,0.9331540616160954,1.0732631756927842,1.1131043420875861,1.0688792397382074
20,1.4082593606295484,1.5361349788278942,1.5639411449336116,1.511940771296403,1.6165373151300955,1.2888443967665815,1.4413287291384305,1.3521183816665145,1.179945673449305,0.9735786976562575,0.9782549489817075,1.111577663310578,1.147352095284981,1.1467855373065317,1.2525144194399982,1.0600401752534372,1.1835410561166657,1.256738543025825,1.1826760777784853,0.7224400435002064
21,1.4979917449701126,1.5399070262436925,1.5592894155886472,1.5973829653809988,1.5818081153810333,1.4337218972992936,1.4719422881987043,1.2509768801810444,1.1011244995111535,1.0048087879421357,1.0856302150597286,1.0490925593667886,1.0424755108087,1.275748727276044,1.1814931384288538,1.20722566496973,0.7577695556775144,1.174589468935025,1.1559698555537814,1.197337166538708
22,1.553796258957919,1.579860186982561,1.6154382514125432,1.3921009866654144,1.6110590325069398,1.410756061387466,1.3577102661509421,1.391212674199314,1.0815476711617444,1.1135454583175681,0.9785133823126332,1.0541856532197806,1.0326077275983756,1.3393889628759625,0.7700752804536134,0.8189797954936134,1.0088284355418098,1.016190577430225,1.2398667100074503,0.9901615091173268
23,1.4677620040915853,1.6370260099829221,1.437418777155595,1.5266362178466633,1.4986635953127798,1.2846047149076982,1.5063656926567217,1.4029129431638339,1.1202686933694732,0.9857093334953281,0.8841455608917713,1.1999751483351744,1.07715083015389,1.2025238782692291,0.9429812119694757,1.139136483155212,1.4064021605610189,1.07789315678415,1.42485914720946,0.9347193481162682
24,1.5370590767713035,1.4440352165669466,1.5413128242673715,1.6519272268587426,1.4938864231592117,1.2648470616653174,1.4420503533482059,1.2623991475548728,1.0346894963512767,1.1563450125235124,1.0966478719809356,1.0041009768095062,1.2330895736101808,1.324452482196907,1.1284668872015922,1.2994814396212002,0.9621722970547667,1.2011451995817768,1.0730680797321164,0.9115648818051308
