TRAJ,C1-C2,C2-C3,C3-C4,C4-C5,C5-C6,C6-C7,C7-C8,C8-C1,C6-H9,C7-H10,C8-H11,C1-H12,C5-H13,C5-H14,C4-H15,C4-H16,C3-H17,C3-H20,C2-H18,C2-H19,C8-C1-C2,C1-C2-C3,C2-C3-C4,C3-C4-C5,C4-C5-C6,C5-C6-C7,C6-C7-C8,C7-C8-C1,dih H9-C6-C7-H10,dih H11-C8-C1-H12
30,1.3507188133448869,1.5029587201695331,1.693831123290485,1.7193300582685118,1.3394419895147291,1.268703640933843,1.4913650984010385,1.3032601586172194,1.2912410191042467,1.0911328431968017,1.0995111439065146,1.0797031437261062,1.1054338211374608,1.080048084081482,1.2020815394837863,1.1580015370176349,1.1683621789291188,1.2703884352358503,1.0936000347225332,1.181859995088526,127.99706196451031,122.8658101142196,113.18946796403173,112.61465112204544,111.34665282036474,126.2265685149983,113.19134753568274,133.5716225320128,4.252033123455409,109.31792404726116
31,1.5409843614559453,1.645604376095822,1.5292601240126003,1.5518649996677358,1.5306833630826737,1.3011766034361414,1.6590272921054985,1.488489592611022,1.1830632770756297,1.0782954111793464,0.9660828723595859,1.041626840017223,1.1424059829422475,1.1037417597441859,1.0939457606680099,1.108732826145925,1.1586119465478972,1.1733041253566507,1.14172944622167,1.0794208632699005,113.30435804252545,126.45156766724637,110.74527034165926,112.17964762442239,110.99822066970562,125.08623780809937,117.97715746134965,82.57424720924979,19.77605801445502,46.091562656198164
32,1.6726242651048673,1.5739141326954695,1.4811464637230722,1.5358490770890167,1.471493867312219,1.434915754058785,1.5547018568005513,1.5050775749967344,1.074200920282867,1.1789121974188792,1.1081875782714645,1.0757097826758737,1.0385200769437244,1.1995993540496086,1.0914602464718945,1.0527591049699951,1.0944234830965751,1.1779751681331625,1.1390747101443224,1.1871838257521254,130.2944794401481,118.77242651591769,113.3613698286389,119.12049191274598,109.37782857278587,139.16708105241784,103.59712080937807,72.93652941443558,4.6754564988707905,35.23385472906019
33,1.5067256621905278,1.5438990765752627,1.601653949143518,1.5449796194605265,1.4890453288908867,1.410459865384198,1.6200932118573912,1.3371179629701988,1.097689071191359,1.1579437632126188,1.1971629161292934,1.1319030212886954,1.0016126946029826,1.1540433837861972,1.012987802359847,1.0569521434409825,1.1923187953348915,1.0568345187105133,1.0481105004255382,1.1404408531281962,114.46897035623222,115.90550160042785,99.74875799195355,101.7678700941165,120.8978520385405,131.9533770685265,96.33901042347284,130.44238621342723,150.81691366713378,0.5609796253165062
34,1.4437079307236527,1.6540767829071492,1.5271213149601455,1.5687104731687622,1.529863283557313,1.3552088215959712,1.3325174410272649,1.53495911244492,1.1253422446900079,1.4088392178782425,1.079165985714052,1.2424602956453454,1.2027644905334782,1.2172286585431524,1.1591081698030459,1.1227347583946254,1.282764112831133,1.073457846073887,1.004643810941562,1.0143418064658738,126.4983410848488,113.00033446159772,110.22727612026159,119.76760710647414,108.81000111182823,123.69945409721736,136.62192979477803,111.20197765834561,85.56430376773636,43.1092430823418
35,1.5060387114840428,1.4388314534126416,1.6189983463323234,1.630038137949321,1.4877515093382063,1.529239116765737,1.37246098509262,1.5887525298247982,1.0647018013631318,1.1416846213699376,1.1035230826125955,1.2994341010431718,1.1014647552038004,1.1624261576526986,0.9434160722062145,1.178090654466282,1.0657057954715723,1.0970685299876064,1.142021147867739,1.1543359448168908,114.99813425962255,122.76317767776887,105.55702543080038,121.67005880039127,119.06030059755044,114.71145674509327,120.97712812334068,68.42476469082004,9.490597340027769,62.76899283658173
37,1.6369422490274188,1.5741907881239148,1.440884137661303,1.528796176096858,1.5262680520083831,1.8740316109883586,1.4725116949716202,1.3801352257149784,1.198743627603897,1.0901739601960094,1.1107657977353194,1.1288043523257567,1.036498966147141,1.0934315453543908,1.1366075399755187,1.0659613813896798,1.2021176074681046,0.9797036049374802,1.050565116007451,0.9907981369263201,129.47537797749285,99.13255128217955,111.8034471031499,118.88534670894543,114.4654743910428,106.13940662794414,131.4418317020241,126.2862755762296,165.6487275099322,7.742288944062137
38,1.6556266540288367,1.5835995735357742,1.5104794678477609,1.4935111711525753,1.5786271553940525,1.576097588938267,1.4133870576061618,1.3431084970728997,1.2143364531292735,0.9587299747745647,1.0765002082522777,1.1701658679230256,1.2271074668567492,1.1102566966258445,1.1567096578129803,1.0748272957756184,1.1339827969207523,0.9702817061829585,1.1251191730070174,1.1731698263549541,130.77112186254254,127.99939978880313,115.66891485774278,122.18118307825584,120.75426145149383,122.20756621347742,89.16681382254882,145.157851834958,70.68145208619991,3.146131617129067
39,1.5625589037119771,1.6324748014557828,1.5689332656151531,1.5302548547308679,1.9939028846188493,1.4970473349774058,1.5273819716779846,1.395403701735123,1.2287861024616002,1.2354750605889573,1.0339808129377999,1.167090717089776,1.004695726988118,0.945841882188033,1.13438623339273,1.4646903627761587,1.046543071546694,1.1450440510975093,1.007732515250158,1.3331391462314635,122.4359653484881,109.80805448718415,113.31933331448435,120.49094437223249,115.23354627666637,100.03760370673902,142.96444622572923,125.40190349768314,120.84589161877078,5.992097209352424
40,1.6314245731960941,1.648952434378975,1.5137176330324567,1.6263438396542416,1.4886144299278665,1.38019850967975,1.385023434587974,1.4412573489791893,1.026619500272178,1.2548826768515795,1.2358752598874643,1.1667875123592004,0.9809289135062857,1.0981132178690844,0.8925629169687226,1.190627698361735,1.1197626528600095,1.140710796586081,1.1066315690974617,1.0512667677286005,133.42041591418405,99.25888339652164,124.0721183210012,116.55502103395581,122.98921018263354,142.29689195414647,122.75393796867708,110.8044339925113,27.653214767250205,77.73789783381112
41,1.5149860254625767,1.5300761619784597,1.6056518212344428,1.5713614867935897,1.4705757721440922,1.4140567753621842,1.4094927174622924,1.453983010596208,1.1819716652628225,1.050994265670845,1.5198529687561948,1.0450983626678958,1.207636939039905,1.2591800920102159,1.1002146612705324,1.0765963824880733,1.0724516034510132,1.2223163190583788,1.1432435626128954,1.0337743689256358,111.63855354728929,124.66820466456586,108.42827612911304,122.26114908775045,124.70297511802086,134.29664701232187,116.45786949439125,143.53391760049436,12.078733470546522,108.76198594008362
42,1.5198243630418533,1.579120653193304,1.5657962759541715,1.561219740866786,1.4423937062607466,1.3813261040782252,1.6598753598156588,1.4136078579968927,1.3546477856135708,1.1158621094403722,1.1722765921621852,1.2224958792296827,1.1420213248089983,1.1210429756145643,1.095862969578124,1.084431963457527,1.0979490283144764,1.1249931386093568,0.9778645398094121,1.0702189635279424,131.96543884435886,131.4755573440762,111.76617120359808,123.01167595564579,114.49997597307424,122.94658570358075,92.06277954071378,127.90225417564315,45.44572247512898,9.38847831535614
45,1.6633276337885234,1.5211102876565923,1.580664091897404,1.6211402578619738,1.4734289989607303,1.4443601503769257,1.389094386244595,1.4367120873167678,1.0964137349038874,1.4149848505241351,1.0254223219147156,1.2177132495384353,1.1543378625727605,1.1372659316917204,1.1010514442019823,1.0638475020068499,1.4611533331537798,1.0177272028680544,1.1784509940497556,1.1987413993448965,129.5443127752479,130.88000992114425,118.38660334391886,121.80105954300342,106.1631515983531,136.5349145659137,124.8995143708097,121.5017166803905,121.35026870084936,10.125433191459662
48,1.4425166906661462,1.574566332928978,1.5720132267208493,1.491750585712007,1.5218764730435494,1.3375453313164567,1.365666237920862,1.5637892003911145,1.1120470061856347,1.0684474628497993,1.1133374687794408,1.1540704357650498,1.0355474951711265,1.166498971857422,1.3014683761257646,1.1712486696250506,1.202741084466177,1.1189525632532784,1.0516065391919234,1.092370087531165,131.5409027849038,118.89062539576337,122.4307873361783,105.92303335743799,114.2319651310257,125.18736270141416,117.56578638768637,93.30602758518333,33.37506378926342,57.30667005868869
49,1.459516668500866,1.5535153490469435,1.5075892468175895,1.6748986539377237,1.4968073544991247,1.3473862566735353,1.366674051315759,1.3449817405919249,1.1268781003500203,1.1365546379232532,1.106923622409848,1.0804075827676014,1.070595708117203,1.1264289257370974,1.0678069084918578,1.1358017352505665,1.1578596806422958,1.1130648818905289,1.2628105500519529,1.374382584974164,128.31808298820064,119.09935504429129,117.4448509206359,109.6264392267212,100.71337787261325,129.8084011596124,125.71691693217052,134.46568880026535,130.85967095964386,9.488179267731468
50,1.6403125635057347,1.658507753316122,1.4640168163823204,1.6887423113435656,1.6353739803152154,1.2856981674353116,1.5110204347824743,1.4413709509520343,1.1183049960262137,1.1531443662244278,2.501425585011324,1.1321364131946017,1.0395087895875261,1.1529966243770475,0.9946907992728168,1.2013054269310581,1.268286347837905,1.0610689933173953,1.0456984662421864,1.4322199907717583,103.11188404687546,120.00179019720406,105.4161664505982,105.92179812155561,122.73755401613386,122.22364032640374,128.21857148608828,141.01045665470238,28.87948790735721,134.53996339060396
54,1.5157848064454977,1.5127132396847232,1.5604953849775303,1.4834536438663835,1.5074040520235568,1.3691195148741977,1.4255415329591887,1.347890580287823,1.0813871448027714,0.9651299401007174,1.2284190958147225,1.164433566057954,1.1468091805762848,1.109301759633812,1.071707907641286,1.1042498515217967,0.943927312759099,1.1456611241558896,1.1657838287896027,1.112046573407295,124.75307161145965,102.8820073654742,111.87974638265385,122.44643069658025,125.01027668495976,137.31773063289384,124.83508333067445,92.44027874872454,3.2383334394814214,41.27985213722324
56,1.5472305067171532,1.583785926693143,1.338597476000176,1.4781106440846072,1.5431987575839992,1.4132292351729834,1.4913792707554634,1.2684045813099378,1.4077522104315312,1.2758736684173133,1.034357452779964,1.0857317117028893,1.057360577502444,1.0490090904136804,1.2798086788257703,1.1192725718676488,1.08846554818007,1.0260199567810624,1.1336430171779848,1.1306432929603976,139.03792701062923,112.3210169165265,121.18154697311076,114.0129917236613,109.82045915910955,117.02809302204058,123.97310634599192,129.25059533791963,111.3608716805933,4.837933188719883
57,1.6571098749690254,1.6830545920312483,1.6831004941009604,1.5654441512397304,1.5340022255179993,1.3034924912910695,1.5146096032783107,1.4813634795993067,1.086781727260817,1.1273479872617944,1.0853165765745973,1.203964644172674,1.102886174921111,1.1643702359948271,1.1168297016857929,1.0472694827837794,1.0055887721580072,1.0563928275212637,1.0261521027224059,1.16062293467273,134.3629484265306,120.22744989127693,116.6319650165763,114.94376570760845,114.7343776533455,143.87814362467975,125.99198459969622,91.17414473249755,9.735146014323105,56.17134913079127
58,1.540340632173386,1.5792062407530039,1.4949780728294388,1.6187375552809413,1.4777771333993877,1.3803944825665342,1.4806155037585893,1.3978018469483249,1.1712752683597152,1.1416583635570041,1.1847324504749286,1.2692086937607736,0.9968692403436626,1.2172790052864015,1.3688235995979288,1.1341654207324645,1.0606261667202357,1.118051914211014,1.2397300595226513,1.039092257321771,147.2178236767597,117.76682294811035,127.14857319937944,121.17773861146318,107.12163755348283,128.43818762721247,121.8014124823624,127.68273228204572,42.13544081056749,98.67118555650995
60,1.5225826464577008,1.5834887439575982,1.5848120441932203,1.6772575233234468,1.410548017635338,1.495517490289305,1.4028530643362147,1.3799986626185454,1.2612292248515378,1.1577928086096527,1.1535206631320145,0.9977031975526915,1.027743018555509,1.1740202606180181,1.0814579974769507,1.0089316910762898,0.9660733911983006,1.2062939751700974,1.0942628544376998,1.2214184693641286,122.7692713054234,113.65432066062343,119.8628734241661,110.77498275133206,97.80913537928603,132.09572740881467,115.40998975489578,128.0808185728424,52.22912179032722,20.532727714488814
62,1.701288907729465,1.504869765464242,1.6311793462344866,1.66260655586321,1.4100654651921034,1.412843440168723,1.6117419707599763,1.214787055322069,1.1089164232173176,1.0669634706076534,1.059889827832078,1.1345496597857534,1.097635957343892,1.0115359288259256,1.0366163796872143,1.1236288824002112,1.0906771054872049,1.1390076132666507,1.0655862667753786,1.1884503668957784,126.29842219267256,118.99032410235277,111.66498371811721,99.74873448764014,122.03264560113185,110.5467132962404,148.9162091596058,91.01483995836269,28.67780911003478,107.12110613022084
66,1.6265103898028723,1.761404001434254,1.6337422356924214,1.650822460333822,1.6266716793901168,1.3215541559857424,1.5099151393005552,1.3776348403359457,1.1856394932875953,1.0643392660888575,1.2592276890527978,1.0700356907252369,1.088662260204254,1.262103788634347,1.1397006903370175,1.1996660485075032,1.1843342213320414,1.1031037434862843,1.0614077190253635,1.2046167838415907,123.00655793981926,95.77316475682335,110.59585279548358,103.31786689155066,113.97531792592946,127.25072521986296,131.2620636111205,144.65883172317922,8.32632226168201,99.7077585244669
67,1.6173855211818422,1.6471486869475709,1.5389177834560441,1.531768139279127,1.584653125079513,1.283316390458136,1.7291545237901973,1.5695214790737784,1.1676263370886866,1.1081236672587846,1.0431025437945332,1.1036239583829923,0.9859143565078065,1.1057587747365678,1.134968747423785,1.066488601571222,1.2080607356074389,1.0516605612773222,1.2218086152125098,1.1599872491092846,124.36363750810902,110.91043730603987,116.9739533296573,112.35294153809035,119.4061547724207,126.46517467812212,121.81423646721935,81.75744768160607,0.25612727292282866,39.99238705066466
68,1.6386017982300878,1.5027149749585735,1.4995918483170225,1.545883401994988,1.4467065839609636,1.5952687487392976,1.4811652211262756,1.5674040419761912,1.0998539343140479,1.0612304813343996,1.1006768580821058,1.0357471934255684,1.1988231179588524,1.2293910771469356,1.150172822355372,1.0604175892045702,1.0971274213356597,1.1595921502564552,1.1296627365968996,1.1162373357764677,125.71793654221504,123.76496905476048,122.31400367556594,114.07629642188029,116.56893149056343,118.04841611384771,90.47729208462462,145.75769213516568,59.43638056878917,38.95614707868529
69,1.5117323770260962,1.6925927412899142,1.549800014506782,1.6794507116617834,1.4696021729578392,1.2980725170238783,1.550908701332542,1.354562437608523,1.0137876167462339,1.168591974869464,1.2911474110449204,1.0698417786333982,1.0685236576022632,1.0940550090150223,1.0188552886087645,1.155369995193872,1.0531776178728256,1.111951823243266,1.1612329999720765,1.0379592080412319,116.82482014157203,126.24629463215686,117.59049720440878,117.34586491170982,116.73111706355448,128.0508514268431,141.9656892452624,125.32264546832062,112.6459918950114,32.690189905782354
71,1.6530860841627322,1.4686360049068143,1.4174251472558215,1.569167597274379,1.4151632754744128,1.3593276587537637,1.5163741095135501,1.604456978231913,1.1612837561432745,1.104441759662601,1.0616007624574297,1.0633401620897744,1.1159135237172062,1.0207735692076727,1.4347285177551736,1.1547777688806795,1.2182343781455822,1.0884478171661698,1.0459091004145677,1.061335918990358,126.2648767988852,124.8537659223602,123.59206454987199,114.23266317204413,118.86778422050737,130.4294229792927,120.01558626883414,77.93105597253452,12.31916012394663,81.61262167132926
72,1.5186945880904172,1.4682571894964527,1.6731548881691174,1.5401993845360498,1.406581101038021,1.2936992003665442,1.3586454267253634,1.4023253251541632,1.184420770231276,1.3017234559244766,1.002393735957568,1.0189257203306499,1.3146814925051162,1.133389766362823,1.1243504445851724,1.131955245585848,1.128928678053296,1.094326659550019,1.1656767664493408,1.0525764552850796,132.27076774092126,136.65953549494165,110.10437797557306,104.35896632253724,128.05094628478014,136.985125133382,92.53588042226173,135.21988739397494,82.49927566792927,36.51204818722304
73,1.573315939502544,1.679574034607527,1.7502520463006304,1.7387075786544068,1.5640876894361277,1.343827457590705,1.4064982865891353,1.3402226343018884,1.1121237576525944,1.0083258976937683,1.119180057773735,1.1588540584746267,1.1547559481418463,1.0053125583194735,0.9976434867590267,0.9752023969672458,1.0891284721225079,1.2117229275175898,1.0131542498105397,1.1479239344653318,115.13331313593159,125.28679934107845,122.24074805311332,118.61345956819166,124.15724768618217,127.70361638497864,123.6314652714947,82.71912739551357,12.91272180953544,64.15853936596402
74,1.513691050895263,1.7024724585947273,1.5694310020238207,1.4968647320504813,1.5562668473003138,1.3275926708589467,1.3944405779499816,1.3261265632186912,1.1372125341325061,1.155675247703947,1.1292603531812078,1.1560085848924866,1.157416852643301,1.0416928439348812,1.1442526520409022,1.2540853684612867,1.0399083034728691,1.096326479070045,1.1760977645856012,1.0519468071278173,128.97796511130787,133.34742730629455,122.94296438156722,110.11245213081297,128.5596576610713,119.22496733731577,92.36166852578143,136.217993690482,48.259416657328906,29.263446738320408
76,1.4640162388459566,1.4265056827140188,1.5594154285290966,1.600800118344297,1.5120163028775016,1.3148245744534819,1.558169297177578,1.4575983604161662,1.0991739762175423,1.0058038388886836,1.0730064609803993,1.2371503847341963,1.0978312759298106,1.2269621157504027,1.0396254509236287,1.0429596537459596,1.142890781166476,1.1068295471669427,1.0663330742730635,1.042002078658967,115.09217916029047,118.02960649080154,110.27217000035724,117.95849044055525,117.95168070737688,139.51874482767704,130.70368832034347,89.32456217846025,26.76901023947095,44.080196230422
