TRAJ,C1-C2,C2-C3,C3-C4,C4-C5,C5-C6,C6-C7,C7-C8,C8-C1,C6-H9,C7-H10,C8-H11,C1-H12,C5-H13,C5-H14,C4-H15,C4-H16,C3-H17,C3-H20,C2-H18,C2-H19,C8-C1-C2,C1-C2-C3,C2-C3-C4,C3-C4-C5,C4-C5-C6,C5-C6-C7,C6-C7-C8,C7-C8-C1,dih H9-C6-C7-H10,dih H11-C8-C1-H12
32,1.4855353993113105,1.488780203656791,1.5970336803994072,1.5707465937357141,1.666981900255867,1.465088875545453,1.368157230314974,1.3494781610773194,1.185490211653229,0.9956125850743206,1.050224090035154,1.0573581007280077,1.1801714845551463,1.0641970622132968,1.132748008702676,1.1025391422923374,1.2006137532830983,1.023247114579348,1.1289819037775033,1.027219793739283,122.45695557732444,114.26857424111898,121.96719225296232,107.05821792571702,117.29982007865829,123.46293878933258,122.08534921042794,137.78534953414163,11.594518349415154,19.81309485485727
33,1.5024347540011231,1.5136152753334529,1.4735180279338762,1.6216691386193556,1.4954168399710521,1.3632179009528194,1.4793521121168944,1.383067973250352,1.1659309662151456,1.081925193539661,1.0356628393599776,0.9028449776175873,0.8808689595804569,0.9459571558016848,1.4737522360109485,1.424349901774875,1.0506732193423156,1.2961555274555423,1.0563659037756687,1.2315456282282427,129.40689825311023,116.60947677826336,118.82535782406225,113.26573208407838,111.11578820243399,122.0353718192542,128.39052171753434,122.8291101292546,0.09521481115528034,4.256021014557817
34,1.3833357115941574,1.595822567481657,1.5962558247086924,1.6595033196254425,1.5530856871267797,1.3641915696436333,1.4847972048581042,1.4908394566028353,1.1071488104785676,0.9179979023497894,1.0860302651722935,1.2106149601790672,1.1440872543592964,1.2520049307188545,1.1963076719813346,1.1423906326290643,0.8731933343528443,1.0900275704464193,1.1343069213328998,1.0618759807723677,127.86448048148627,118.2873908277031,115.41315449803108,114.19510376659925,119.33375797451431,128.75273819385455,127.04717513800951,119.37124761844132,9.085909930198143,2.568172459446086
35,1.511558125868888,1.4521792967055067,1.6064951977490731,1.6155199833677438,1.5709717709050408,1.186755278993031,1.6452281423608146,1.3767475616299671,1.187573593787111,1.1527369731926238,1.0713418351503405,0.9516769610791452,1.1708058506219292,1.1103702123573382,1.303169175092979,1.2015157512562409,1.0148207200969543,0.8889404739519248,1.1170565368466616,1.2265557103445397,130.78677034045901,114.16787282307656,115.25155334641258,109.845018043191,110.96008531111423,124.98789182192749,126.86226126600313,117.86791929116913,12.404564077619636,20.70793182516928
36,1.467759960118543,1.4904369380574773,1.4984199940954943,1.588355921970929,1.5116022362984394,1.3797253188488399,1.3670619993977322,1.2927197693465398,1.1575770429497485,1.2152036646186752,0.7915965452425439,1.1191692836951597,0.9029940629490737,0.9827233037117022,1.208681790578516,1.201756414057317,0.9872460314053186,1.4059006118639912,0.9007227220311392,1.109453817683474,129.16875835230832,117.31356467141285,113.52347162032379,112.70174971568751,114.75913235159686,126.2978679880476,126.04274234125799,125.27572463572554,1.7327160572442024,3.8449716841346904
37,1.4556659736201287,1.5092299850197992,1.6966721989605236,1.642584107112232,1.4483387382518353,1.2898498275871524,1.4582691966842853,1.3102701803441483,0.8619407733739268,1.0353838863063938,1.1387568067201799,1.1094620911187136,1.1395489899912055,0.8822981947666326,1.279030193579775,1.2688291098690625,0.959488118652461,1.2140656378359578,1.316105388562015,0.875896636752115,129.04640053061246,117.66262980244777,115.01298377208269,103.24677084371636,115.02757400794859,135.1542957119802,122.19603638756647,127.4045722322487,12.414375892668518,19.69249446541707
38,1.5445979637013578,1.5717066885575552,1.4678817900437848,1.6443083024457008,1.5146680349372141,1.222052807940103,1.5048615618756518,1.3696443324221832,1.2179742471748594,1.081458305035968,1.1259290336067318,1.2863051418509546,1.180898189026656,0.9430833739478618,1.2150182443220203,1.1911347988142174,1.255701483373181,0.9163692051630395,1.151325221078758,1.1781357515852073,118.2846441495307,111.21098554111512,112.33324696880716,112.58826922366117,113.24806355327233,132.6272969448994,122.72129004996982,125.20648175933432,12.151371709051546,19.079303440136364
39,1.5018350858661678,1.5934732221226562,1.5006068264645136,1.4762110125794132,1.6923220395265108,1.1534233314183786,1.459809067354328,1.3063382841444664,1.0632068185949486,1.0671129994443038,0.9892657090408323,1.2134490139441696,1.2295073774107204,1.404605365184536,1.0822046622098698,0.8874281634238103,1.150580547225939,1.144945710715269,1.1048990954928328,0.9106579525624914,132.9420310537653,112.73631942953988,112.95612674665878,110.15111320449681,111.95071804729668,131.91417090206056,123.53787497007036,119.52346144331032,3.2321894604702694,28.77540018285226
40,1.663350463550697,1.5846683370077328,1.6028547461268736,1.4589357315617464,1.5530628044854702,1.4318640130038272,1.597730868899922,1.4042076941559147,1.276807754736495,1.0168993407229567,1.0743836826263664,1.2340882966402733,1.0423699700738265,0.9371036846898819,0.792655184307562,0.8417644414691231,1.094697600268162,1.0668044144416022,1.0193358918737292,1.1278812015083362,124.62274189264072,109.22409768019666,113.92570092516257,120.66039771142749,117.0273583843101,119.13194716647165,129.17848876533924,122.35473309551281,5.793109859234866,10.193399029609786
41,1.5354963946618905,1.6596370897841894,1.48334853346525,1.5026423255005676,1.3756982898437073,1.4965342629020328,1.4566876857347453,1.3629868218359882,1.1103519332341278,1.1793860546306427,0.8499623648032347,1.072030319886461,1.0629281426718709,1.0035986494961162,1.189517164973257,1.1632542914275912,1.3738365909757215,1.1558030580349565,1.097241585242524,1.18516537251242,127.03787550646544,111.55245896805621,115.25885618429331,121.0087758541901,116.74406005860202,124.63423515693101,122.21950649090321,125.62502006497887,8.247600051670856,5.081600300471563
42,1.396583188659027,1.5608521042989443,1.589250501475239,1.6868748924370702,1.5828510192871252,1.3399959501921803,1.4736226963963814,1.4304432011800565,1.275322056620378,1.1080581333935664,0.9497678666294018,0.9424148192825362,1.1580930422744418,1.1251252287258386,1.2050828202731283,1.1771676690884234,0.9133647572373005,0.9757256932984356,0.9632180509100035,1.2063670117320435,129.53010142149685,116.91019122185673,115.66688663562223,109.34608808535202,113.09699705474148,125.69089270298569,126.15179281117977,123.74494571807668,4.491546450370595,7.919018650240346
43,1.4410575027539338,1.5745929964549632,1.568901582923044,1.4965859151667684,1.5834718237987204,1.3479454501682557,1.5218892331128813,1.4317922353454264,1.142855601849385,1.0819090634839565,0.9582748701895651,0.7735316644887649,1.088855327225711,1.1162428695267825,1.068735311294142,1.0573937362898307,1.0000144441356646,0.9453579592765847,1.3593489987409058,1.0686339064672472,126.41832038945971,115.41340817208922,115.11705373025248,113.96099367780036,118.2302983556793,127.43099934761757,121.71173530141478,124.31981147341638,4.657129561058742,6.745778894978584
44,1.5491394028108716,1.5334158601197085,1.5341884715104286,1.4998468854524125,1.4991260370752049,1.2766473371536424,1.5379843507723223,1.3468625562006393,1.1449371870620282,1.070514678704412,1.6439598068886594,1.1746286668955843,1.0818332256315837,1.285569397811687,1.1746111827455714,0.9990779954081757,1.1941887355192966,1.1072411369843276,1.0581675988219785,0.9342257117185115,133.0515224270561,112.115354230757,118.3521145978337,116.49992026842871,117.97907099353156,124.15284881078453,126.05375531993083,117.5936932448088,0.844386495361858,4.783833699774033
45,1.4702683470040505,1.5914096219727925,1.5028134509943425,1.526872880924854,1.525625518852878,1.4261058111356015,1.4480591037522819,1.3404394954341243,1.0887205883353215,1.2357410064726893,1.100209104460178,0.9736075464715724,1.061498459098176,0.9167522457884234,1.061909188875673,1.0832456795752736,1.474528660985408,1.2413606659701555,1.2336513391678063,1.180736071487149,123.38719680982771,117.03300480135488,115.91287590935953,119.70994776500699,116.99952945381186,123.94643620536687,124.11896595440362,125.68581036590459,9.921674404624238,2.2831161194901157
