C3-H12,C2-O6,P7-O6
2.062340617463177,2.716692459856283,3.0743663765234075
2.054315289084943,2.703972132431257,3.0714381258054715
2.28121284646609,2.735336657493827,3.0343727204454805
2.0703344059315363,2.8900180291353936,3.2103308586764476
1.9953980276607772,2.783496406837039,3.005830987401078
2.064020568414343,3.171262056396342,3.0793986747938016
2.2929901776413395,2.5880490315462104,3.032994665585583
1.8001926646497748,2.71202045858124,3.042329100663635
2.5430824514241173,2.3671910106181207,3.1465728168367275
2.468510729664319,2.7704988417451872,3.076723093027158
2.0910325352269226,2.3222762153398917,2.988435798604004
1.849783637273293,2.7134453523060498,3.0361947354539036
1.7435156129046725,3.1590615321304796,3.0695030938431396
1.2357398791953138,2.807683257368171,3.0165718854753423
1.8297942573062507,2.462794495374955,3.1000413910063433
2.0735403111466506,2.7266271105244493,3.0778933842014937
2.6434352891912494,2.424430639858797,3.0757849191875075
1.9922549044521707,2.1647027353827863,3.0384697763180877
2.690004842926111,2.611820318027597,3.0224491146411996
1.7554517128423375,2.580452800058421,3.07331721591374
1.9716443249221072,2.2111106558031435,3.0952811864349408
1.40683898754442,2.884671872724639,3.076793842421714
1.9839107215895821,2.4364287669234783,3.158468442164368
1.856862440109934,2.6631379340519916,3.1078930110556566
1.4134336919040145,3.0422557378479387,3.0266595056274235
2.1440350127143777,2.6969480731904922,3.0983758218450848
2.752820381754245,2.6655085438739117,3.152877105774533
2.5029336144463885,2.793643610241199,3.034447647159024
1.9535564511098789,2.7210654976566255,3.0845012600439703
2.3240161196330886,2.6670816204656287,3.0675662612455614
2.265164213300894,2.2389640615063233,3.093798294969564
2.251251268142144,2.8618421309417856,3.0148290473029107
2.655054276849442,2.9685265385952855,3.104687171192569
2.072825177805035,3.075727263139601,3.2173075945572815
2.480931935632043,2.642466999819172,3.034866158730345
1.9181170204822793,2.399029472424522,3.1564802861771737
1.719253022137837,2.8105842103521517,3.034813191865169
2.150069500641482,3.0129303007884767,3.092849397732869
2.8434265933147005,3.0451866335858235,3.161144627748588
1.6646237155183548,2.5110725040117394,3.0302295620099
2.6524669863953463,2.5686645083134008,2.9962340663537455
1.9211107390143374,2.7400714670025086,3.1012395042199756
1.8151049746578984,2.958026330543044,3.1320850323202807
1.28552689295523,2.3614684975637124,3.2317486091015803
2.5462391744905934,2.711244465794542,3.0447454465110355
1.8421727412175326,2.688949982274065,3.067758109167582
2.474025590074828,2.5674358027110182,3.2244591856443243
2.302757104590525,2.53665214472972,3.1051163866871394
2.983854533980847,2.70539428635124,3.1365778411776737
2.0482544882313847,2.6655791990160993,3.052924087714429
1.84554681115908,2.832711819019691,3.0275621169172364
1.6341971547376997,2.7983323764808974,3.0652396526446117
1.8543824886409586,2.6917681906376325,3.070585788347043
1.8649282973911794,2.930701974721346,3.0560166803558224
2.14604511629229,2.785281929448823,3.035571032890414
2.2523001464055343,2.7288379552248907,3.088326009656826
2.0807897992547613,2.685153305448412,3.123945192149891
1.9455829399287792,2.900447107590122,3.090119138964882
2.299595719097613,2.5600807461628707,3.1444215421536144
3.1097023605997256,2.888077376696158,2.9712009805088475
1.3421691170545016,2.7443755649441366,3.097959956545151
2.2231627885782026,2.9611923342002426,2.9954905771551097
1.91183796547242,2.6594109470812484,3.074975125896424
1.7312852487552157,2.556651527662377,3.1063906776471715
1.9907653212313348,2.8703223672738947,3.1035886341961305
1.320981738450235,3.067768003204307,3.042356481671208
2.5752490072735745,2.7070676095589925,3.084489792982837
2.2897124458920235,3.016763855616682,2.982648375592718
1.8021451887349984,2.515241008195742,3.1684304771668512
1.7892829573460307,2.999311770113516,3.0653138225595895
2.737364745278341,2.710116558230787,3.0162611304386946
1.449097580296125,3.195628155429444,3.15736907445302
2.6411808091133597,2.794570451749216,3.0840204658425217
1.9305870730814578,2.2890432767170465,3.1409082671356154
2.931968182366435,2.8976325604328252,2.992434604847511
2.023095294997148,3.2084172999062512,2.9650722668628355
1.6295243140105284,2.2735346442269857,3.0397071209677824
3.206421448784672,2.6684362522277847,3.0640239301396233
1.7963737280631293,2.6535740462325825,3.0447831337305606
1.6981491747385353,2.7657113761521948,3.207175092586364
1.7751311155262859,3.003787333390576,3.116908498051326
1.3042352429336617,2.3645196885200463,3.135951337469331
2.1939641212566685,2.2150122260322984,3.080255297367672
1.3666719939959968,2.9130570551615964,3.0592406989515877
1.898817649384111,2.726532116869969,3.0491708571825407
2.1231836571391693,2.561288321752861,3.033710533619879
1.5273194311993163,2.9074223858983403,3.1035951295322577
2.5352464126310434,2.7778653087763083,3.0955791598501707
2.6306798590856344,2.673803629266946,3.10892229110646
1.8317261564867973,3.0894971072720496,3.1010893940958546
1.6917154378285735,2.957018867965077,3.0814305866590375
1.3857208749886878,2.6318938706042116,3.041776406463943
2.405415687359511,2.5880700421436176,3.0648795402029587
1.3542030581827968,2.8783020236868464,3.098060912429061
2.494378527843321,2.7409011913823282,2.956334175462157
2.2405307794301765,2.754830476358151,3.062831069619528
1.3742159423024005,2.3145799379919914,2.959629429932639
2.1060116900824646,2.6660271592817146,3.0162657981916046
2.332344559012609,2.821025069433413,3.114540464596897
1.9717061525274788,2.4426653079187166,3.077818850746943
1.9956582030226402,3.0932513988750925,3.177057850042349
